Sample_date,SHL_number,Spawning_date,lifestage,abundance,facility,Notes
6/14/12,SF12-55,6/14/12,embryo,208050,BML,
6/16/12,SF12-55,6/14/12,larvae,221760,BML,
6/22/12,SF12-55,6/14/12,larvae,174241,BML,
7/25/12,SF12-55,6/14/12,juvenile,6000,BML,
12/4/12,SF12-55,6/14/12,juvenile,29,BML,
7/15/14,SF12-55,6/14/12,adult,13,BML,
1/26/15,SF12-55,6/14/12,adult,12,BML,
6/3/15,SF12-55,6/14/12,adult,10,BML,
7/24/19,SF12-55,6/14/12,adult,1,BML,
4/16/19,TBD,4/16/19,embryo,"18,000,000",BML,"2,000,000 overnighted to SFWSC and 750,000 overnighted to CMA"
4/22/19,TBD,4/16/19,larvae,"8,500,000",BML,7 million driven to 9 partner facilities
4/23/19,TBD,4/16/19,larvae,"1,500,000",BML,
4/23/19,TBD,4/16/19,larvae,"4,000,000",SWFSC,
4/23/19,TBD,4/16/19,larvae,"1,500,000",TCAF,
4/23/19,TBD,4/16/19,larvae,"400,000",TBF,
4/23/19,TBD,4/16/19,larvae,"90,000",AOP,
4/23/19,TBD,4/16/19,larvae,"60,000",CMA,
4/23/19,TBD,4/16/19,larvae,"60,000",SBMNH SC,
4/23/19,TBD,4/16/19,larvae,"130,000",UCSB,
4/23/19,TBD,4/16/19,larvae,"800,000",MLML,
4/23/19,TBD,4/16/19,larvae,"115,000",CICESE,
4/19/18,SF18-40,4/19/18,embryos,"2,000,000",BML,
4/26/18,SF18-40,4/19/18,larvae,"1,100,000",BML,
7/23/18,SF18-40,4/19/18,juvenile,"16,958",BML,
1/8/19,SF18-40,4/19/18,juvenile,"20,927",BML,
6/20/17,SF17-63,3/1/17,juvenile,"23,471",BML,
7/25/16,SF16-9,3/2/16,juvenile,"12,822",BML,
1/31/17,SF16-9,3/2/16,juvenile,"8,422",BML,
12/17/18,SF16-9,3/2/16,adult,"2,975",BML,
1/17/19,SF14-66,5/13/14,adult,56,SBMNH SC,
1/17/19,SF14-65,4/30/14,adult,16,SBMNH SC,
1/17/19,SF14-66,5/13/14,adult,184,UCSB,
1/17/19,SF15-76,3/4/15,adult,353,UCSB,
1/17/19,SF15-76,3/4/15,adult,176,AOP,
1/17/19,SF16-9,3/2/16,adult,62,SWFSC,
1/17/19,SF16-9,3/2/16,adult,"3,130",BML,
1/17/19,SF13-32,3/2/13,adult,4,BML,
1/17/19,SF13-43,4/4/13,adult,58,BML,
